City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Biryukove,47.9563,39.7384,18.23,84,100,16.89,UA,1675718503
81,Hofn,64.2539,-15.2082,36.93,71,40,32.48,IS,1675718504
82,Nerchinskiy Zavod,51.3088,119.61,-30.5,100,89,1.66,RU,1675718505
83,East London,-33.0153,27.9116,75.63,84,1,18.14,ZA,1675718506
84,Baixo Guandu,-19.5189,-41.0158,85.01,66,73,2.21,BR,1675718506
85,Barrow,71.2906,-156.7887,-7.58,71,100,6.91,US,1675718507
86,Bambous Virieux,-20.3428,57.7575,79.05,89,75,11.5,MU,1675718508
87,Busselton,-33.65,115.3333,66.58,76,97,11.68,AU,1675718509
88,Storforshei,66.4043,14.5233,44.38,87,75,13.8,NO,1675718509
89,Igarka,67.4667,86.5833,-7.46,100,100,5.55,RU,1675718510
90,Bethel,41.3712,-73.414,46.71,64,100,11.5,US,1675718277
91,Pisco,-13.7,-76.2167,80.65,74,0,18.41,PE,1675718510
92,San Quintin,30.4833,-115.95,61.23,55,15,16.82,MX,1675718511
93,Beringovskiy,63.05,179.3167,-20.15,94,95,8.48,RU,1675718511
94,Saldanha,-33.0117,17.9442,66.25,97,69,16.84,ZA,1675718511
95,Saint-Pierre,-21.3393,55.4781,80.28,78,0,10.36,RE,1675718512
96,Hilo,19.7297,-155.09,78.28,87,75,3.44,US,1675718512
97,Bengkulu,-3.8004,102.2655,75.45,84,82,6.04,ID,1675718513
98,Butler,39.4501,-84.5666,48.02,54,0,8.05,US,1675718051
99,Mount Isa,-20.7333,139.5,76.77,94,100,9.22,AU,1675718514
100,Muroto,33.2833,134.15,52.9,64,100,17.31,JP,1675718514
101,Moerai,-22.4333,-151.3333,79.45,76,94,10.29,PF,1675718515
102,Coihaique,-45.5752,-72.0662,66.15,42,0,10.36,CL,1675718515
103,Lerwick,60.1545,-1.1494,48.2,77,100,23.58,GB,1675718255
104,Faya,18.3851,42.4509,52.32,61,99,3.18,SA,1675717944
105,Krasnoselkup,65.7,82.4667,-5.28,99,99,4.72,RU,1675718516
106,Isangel,-19.55,169.2667,86.11,79,75,2.3,VU,1675718516
107,Beyneu,45.3167,55.2,35.2,84,100,17.05,KZ,1675718378
108,Derzhavinsk,51.1,66.3167,4.21,97,91,7.25,KZ,1675718517
109,Sao Filipe,14.8961,-24.4956,69.06,61,8,16.69,CV,1675718518
110,Hambantota,6.1241,81.1185,75.72,88,92,7.7,LK,1675718518
111,Sept-Iles,50.2001,-66.3821,14.0,67,20,8.05,CA,1675718519
112,Nioro,13.35,-15.75,79.29,18,14,8.19,GM,1675718292
113,Puerto Escondido,15.85,-97.0667,83.41,58,1,5.77,MX,1675718466
114,Mount Gambier,-37.8333,140.7667,56.43,86,11,4.41,AU,1675717994
115,Pedernales,18.0384,-71.744,81.68,65,69,3.38,DO,1675718519
116,Altus,34.6381,-99.334,78.31,40,0,12.66,US,1675718520
117,Murray Bridge,-35.1167,139.2667,59.13,76,0,3.51,AU,1675718520
118,Kavieng,-2.5744,150.7967,81.18,80,100,11.48,PG,1675718520
119,Uppsala,60.0,17.75,29.64,86,100,3.44,SE,1675718521
120,Cocorit,27.5833,-109.9667,77.34,13,66,10.94,MX,1675718521
121,Chase,50.8165,-119.6857,46.15,91,100,4.12,CA,1675718521
122,Chengde,40.9725,117.9361,23.86,47,55,1.43,CN,1675718522
123,Necochea,-38.5473,-58.7368,69.91,46,29,18.16,AR,1675718522
124,Qaanaaq,77.484,-69.3632,-18.27,98,100,3.67,GL,1675718523
125,Katsuura,35.1333,140.3,49.62,69,100,7.74,JP,1675718524
126,Ribeira Grande,38.5167,-28.7,57.78,72,40,20.71,PT,1675718525
127,Gairatganj,23.4202,78.2385,62.37,35,0,4.41,IN,1675718527
128,Kita,13.0349,-9.4895,85.19,14,100,2.37,ML,1675718528
129,Nisia Floresta,-6.0911,-35.2086,79.61,79,32,9.57,BR,1675718528
130,Anloga,5.7947,0.8973,81.1,86,55,15.64,GH,1675718530
131,Suntar,62.1444,117.6319,-43.94,100,93,1.57,RU,1675718530
132,Brae,60.3964,-1.353,47.61,78,97,25.17,GB,1675717976
133,Namatanai,-3.6667,152.4333,78.78,84,98,3.62,PG,1675718532
134,Namibe,-15.1961,12.1522,71.17,77,92,4.79,AO,1675718534
135,Aldan,58.6031,125.3894,-42.61,96,36,4.81,RU,1675718535
136,La Ronge,55.1001,-105.2842,16.65,84,100,13.38,CA,1675717971
137,Chokurdakh,70.6333,147.9167,-24.75,99,100,2.91,RU,1675718537
138,Kangundo,-1.2979,37.3471,57.99,64,51,1.23,KE,1675718428
139,Shebunino,46.4339,141.8603,18.18,65,95,9.64,RU,1675718538
140,Kungurtug,50.5994,97.5228,-14.53,99,61,2.04,RU,1675718540
141,Alghero,40.5589,8.3181,44.69,87,100,8.05,IT,1675718540
142,Upernavik,72.7868,-56.1549,-9.72,94,100,7.76,GL,1675718292
143,Moron,-34.6534,-58.6198,93.06,37,0,7.74,AR,1675718541
144,Beian,63.6559,9.5683,46.0,81,75,6.91,NO,1675718541
145,Sioux Lookout,50.1001,-91.917,32.65,84,100,14.32,CA,1675717671
146,Lluta,-16.0147,-72.0142,50.83,96,100,6.98,PE,1675718542
147,Lebu,-37.6167,-73.65,62.42,71,0,19.24,CL,1675718542
148,Juneau,58.3019,-134.4197,36.21,100,100,0.0,US,1675717874
149,Boyolangu,-8.1181,111.8935,74.41,89,100,1.43,ID,1675718543
150,Shestakovo,56.4915,103.96,3.15,99,100,2.84,RU,1675718544
